	Headline	sentiment	Link
0	Gerald Butts\' testimony on SNC-Lavalin: PM\'s ex-adviser has \'very different recollection\' of crucial meeting	neutral	https://news.google.com/articles/CBMiWWh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3BvbGl0aWNzL2dlcmFsZC1idXR0cy1saXZlLXRlc3RpbW9ueS1zbmMtbGF2YWxpbi1saXZlc3RyZWFt0gGmAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9wb2xpdGljcy9nZXJhbGQtYnV0dHMtbGl2ZS10ZXN0aW1vbnktc25jLWxhdmFsaW4tbGl2ZXN0cmVhbS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
1	Trudeau considering a statement of contrition over SNC-Lavalin	neutral	https://news.google.com/articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
2	Why does Trudeau seem to be always caught off guard?	neutral	https://news.google.com/articles/CAIiEE-qnWHgGC7_oU-8ujH4Vo4qFggEKg4IACoGCAow6bV4MPfJDDCtvTk
3	\'Nothing inappropriate\': Butts says SNC-Lavalin scandal blew up only after cabinet shuffle	neutral	https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2J1dHRzLXNuYy1sYXZhbGluLXdpbHNvbi1yYXlib3VsZC0xLjUwNDQ3MDTSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDQ3MDQ_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
4	Gerald Butts\'s master class in taking down an adversary	negative	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLWdlcmFsZC1idXR0c3MtbWFzdGVyLWNsYXNzLWluLXRha2luZy1kb3duLWFuLWFkdmVyc2FyeS_SAQA
5	Meng Wanzhou appears in B.C. court for extradition hearing date	neutral	https://news.google.com/articles/CAIiEGfi0j3BJLZS8jV-nwpbnwIqFggEKg4IACoGCAowqKNmMKjdCjDO3RQ
6	Lawyer of Huawei’s Meng raises political motivation ‘concerns’ at B.C. court appearance	neutral	https://news.google.com/articles/CAIiEA55sLyD_RN5-KJ3X80deqQqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
7	Arrested Huawei executive Meng Wanzhou returns to B.C. court today	neutral	https://news.google.com/articles/CAIiEKExfgiZiaD8FXLWYhj6B6EqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
8	The stakes just went up in Canada’s conflict with China - so what is the end game?	negative	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLXRoZS1zdGFrZXMtanVzdC13ZW50LXVwLWluLW91ci1jb25mbGljdC13aXRoLWNoaW5hLXNvLXdoYXQtaXMtdGhlL9IBxgFodHRwczovL3d3dy10aGVnbG9iZWFuZG1haWwtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vYW1wL29waW5pb24vYXJ0aWNsZS10aGUtc3Rha2VzLWp1c3Qtd2VudC11cC1pbi1vdXItY29uZmxpY3Qtd2l0aC1jaGluYS1zby13aGF0LWlzLXRoZS8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
9	China believes Canada\'s Huawei case is political. Trump does nothing but confirm it.	neutral	https://news.google.com/articles/CAIiEC07-25sq7-Xan2mxjffAB8qGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ
10	Jane Philpott Resignation Leaves Some Liberal MPs \'Sad\' But Not Surprised	negative	https://news.google.com/articles/CAIiEPCoYDXbk87deYLEVKIK-2gqFwgEKg8IACoHCAow1qfAAjCkrz8w8NBI
11	Liberals\' feminist agenda undermined by their reaction to cabinet resignations: opposition	neutral	https://news.google.com/articles/CBMib2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3BvbGl0aWNzL3dpbHNvbi1yYXlib3VsZC1hbmQtcGhpbHBvdHQtZGVwYXJ0dXJlcy1kby1ub3QtYWZmZWN0LWZlbWluaXN0LWFnZW5kYS1uZ9IBvAFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3MvcG9saXRpY3Mvd2lsc29uLXJheWJvdWxkLWFuZC1waGlscG90dC1kZXBhcnR1cmVzLWRvLW5vdC1hZmZlY3QtZmVtaW5pc3QtYWdlbmRhLW5nL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
12	PM\'s Regina trip cancelled in favour of private meetings in Ottawa	neutral	https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmN0dm5ld3MuY2EvcG9saXRpY3MvcG0tcy1yZWdpbmEtdHJpcC1jYW5jZWxsZWQtaW4tZmF2b3VyLW9mLXByaXZhdGUtbWVldGluZ3MtaW4tb3R0YXdhLTEuNDMyMjc5MNIBiQFodHRwczovL2JldGEtY3R2bmV3cy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2JldGEuY3R2bmV3cy5jYS9uYXRpb25hbC9wb2xpdGljcy8yMDE5LzMvNS8xXzQzMjI3OTAuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
13	High-profile resignations a \'blow\' to PM beset by questions about SNC-Lavalin	positive	https://news.google.com/articles/CAIiEIAQQDCdNCu3V4CUDUheAmoqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
14	Rex Murphy: Drop the poses Trudeau. You owe this country a real explanation	positive	https://news.google.com/articles/CBMiamh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb27SAbcBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb24vYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
15	What does Ivanka Trump do?	neutral	https://news.google.com/articles/CAIiEGJ64kldg-J5f0GmGrml6OYqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU
16	Donald Trump’s tax returns could be requested by House committee in 2 weeks: congressman	neutral	https://news.google.com/articles/CAIiEPQFNwjzFy36LalXuMwZxQIqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
17	Trump refuses to hand over ‘Kushner clearance’ documents to Congress: ‘It’s a disgrace’	neutral	https://news.google.com/articles/CAIiEBrlFN8t-O2PB2xctw4rt8kqFwgEKg4IACoGCAowzdp7ML-3CTCRx_0F
18	David Bossie: Anti-Trump Democrats practice politics of personal destruction against president	neutral	https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL29waW5pb24vZGF2aWQtYm9zc2llLWFudGktdHJ1bXAtZGVtb2NyYXRzLXByYWN0aWNlLXBvbGl0aWNzLW9mLXBlcnNvbmFsLWRlc3RydWN0aW9uLWFnYWluc3QtcHJlc2lkZW500gHJAWh0dHBzOi8vd3d3LWZveG5ld3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmZveG5ld3MuY29tL29waW5pb24vZGF2aWQtYm9zc2llLWFudGktdHJ1bXAtZGVtb2NyYXRzLXByYWN0aWNlLXBvbGl0aWNzLW9mLXBlcnNvbmFsLWRlc3RydWN0aW9uLWFnYWluc3QtcHJlc2lkZW50LmFtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
19	Morning Bits: Republicans determined to go down with Trump	negative	https://news.google.com/articles/CAIiEOqTr9I-Qy9Db9hjbbpsHEEqGAgEKg8IACoHCAowjtSUCjC30XQw_qe5AQ
20	Lawyer in Mark Norman case threatens to call on Gerald Butts to testify	neutral	https://news.google.com/articles/CAIiEFsPmP_KJN8YqAWaUFirXx4qGQgEKhAIACoHCAowqeP_CjDdg_oCMMXh6QU
21	Vice-Admiral Mark Norman\'s lawyer threatens to call Butts Wernick to stand	neutral	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmN0dm5ld3MuY2EvY2FuYWRhL3ZpY2UtYWRtaXJhbC1tYXJrLW5vcm1hbi1zLWxhd3llci10aHJlYXRlbnMtdG8tY2FsbC1idXR0cy13ZXJuaWNrLXRvLXN0YW5kLTEuNDMyNDYxNNIBhwFodHRwczovL2JldGEtY3R2bmV3cy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2JldGEuY3R2bmV3cy5jYS9uYXRpb25hbC9jYW5hZGEvMjAxOS8zLzYvMV80MzI0NjE0Lmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
22	Lawyer of Vice-Admiral Mark Norman threatens to call Butts Wernick to stand in trial	neutral	https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtbGF3eWVyLW9mLXZpY2UtYWRtaXJhbC1tYXJrLW5vcm1hbC10aHJlYXRlbnMtdG8tY2FsbC1idXR0cy13ZXJuaWNrLXRvL9IBAA
23	BONOKOSKI: SNC-Lavalin even touches Vice-Admiral Norman defence	neutral	https://news.google.com/articles/CBMiaGh0dHBzOi8vdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2Jvbm9rb3NraS1zbmMtbGF2YWxpbi1ldmVuLXRvdWNoZXMtdmljZS1hZG1pcmFsLW5vcm1hbi1kZWZlbmNl0gGzAWh0dHBzOi8vdG9yb250b3N1bi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90b3JvbnRvc3VuLmNvbS9vcGluaW9uL2NvbHVtbmlzdHMvYm9ub2tvc2tpLXNuYy1sYXZhbGluLWV2ZW4tdG91Y2hlcy12aWNlLWFkbWlyYWwtbm9ybWFuLWRlZmVuY2UvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
24	Gerald Butts could be called as witness in Mark Norman case	neutral	https://news.google.com/articles/CBMiYGh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9nZXJhbGQtYnV0dHMtY291bGQtYmUtY2FsbGVkLWFzLXdpdG5lc3MtaW4tbWFyay1ub3JtYW4tY2FzZdIBrQFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3MvY2FuYWRhL2dlcmFsZC1idXR0cy1jb3VsZC1iZS1jYWxsZWQtYXMtd2l0bmVzcy1pbi1tYXJrLW5vcm1hbi1jYXNlL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
25	Complete Calgary ring road on horizon after contracts awarded	positive	https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2NhbGdhcnktd2VzdC1jYWxnYXJ5LXJpbmctcm9hZC0xLjUwNDQwMTnSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDQwMTk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
26	Construction on west section of ring road expected to start in spring	negative	https://news.google.com/articles/CBMiamh0dHBzOi8vY2FsZ2FyeS5jdHZuZXdzLmNhL2NvbnN0cnVjdGlvbi1vbi13ZXN0LXNlY3Rpb24tb2YtcmluZy1yb2FkLWV4cGVjdGVkLXRvLXN0YXJ0LWluLXNwcmluZy0xLjQzMjMyNzLSAYUBaHR0cHM6Ly9iZXRhLWN0dm5ld3MtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmN0dm5ld3MuY2EvbG9jYWwvY2FsZ2FyeS8yMDE5LzMvNS8xXzQzMjMyNzIuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
